,index,src_event_index,src_id,src_text,src_semantic_rep,src_file_name,src_class,src_type,src_content_desc,src_hint,src_parent_text,src_sibling_text,src_fillable_neighbor,src_neighbors,src_label,src_activity,src_atm_neighbor,src_app,target_event_index,target_id,target_text,target_semantic_rep,target_file_name,target_class,target_type,target_content_desc,target_hint,target_parent_text,target_sibling_text,target_fillable_neighbor,target_neighbors,target_label,target_activity,target_atm_neighbor,target_app,predict_score_temdroid
0,0,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,image button,,plusbutton imageButton,plusbutton,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2-Expense3,0.2023237
1,1,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,,,Open navigation drawer,,android.widget.ImageButton,clickable,open navigation drawer,,,,,,wrong,main activity,,Expense2-Expense3,0.057215612
2,2,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,view,today budget,TODAYS BUDGET,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense2-Expense3,0.019753704
3,3,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,current money,,$ 0.00 TODAYS BUDGET,,android.widget.TextView,label,,,,today budget,,TODAYS BUDGET TODAYS BUDGET,wrong,main activity,,Expense2-Expense3,0.002799412
4,4,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,view,daily amount,DAILY AMOUNT:,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense2-Expense3,0.038799684
5,5,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,daily amount,,daily_amount DAILY AMOUNT:,,android.widget.TextView,label,,,,daily amount,,DAILY AMOUNT: DAILY AMOUNT:,wrong,main activity,,Expense2-Expense3,0.013947229
6,6,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,0,image button,,minusbutton imageButton,minusbutton,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense2-Expense3,0.2023237
7,7,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1,input amount,amount,Amount,,android.widget.EditText,fillable,,,,,,,wrong,input activity,,Expense2-Expense3,0.034348894
8,8,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1,,,Navigate up,,android.widget.ImageButton,clickable,navigate,,,,,,wrong,input activity,,Expense2-Expense3,-0.010292741
9,9,0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense2,1,input note,note optional,Note (Optional),,android.widget.EditText,fillable,,,,amount,,,wrong,input activity,,Expense2-Expense3,0.17162476
